Block,Price Oracle 0,Price Oracle 1,Price Scale 0,Price Scale 1,Fee,VP,A,Gamma,Fee_Gamma,D,lp_price,xcp_profit,xcp_profit_a
8658100,42680450696088273108255,2286951470698751593392,42671210592540007445199,2286743484846289855013,99657953,1003998921110202643,1707604,56445186294837,7200000000000,1361167022666556077201563,1386789113779934696752,1007844891342480371,1007840184320666776
8658627,42687444655134728279444,2287108782692041052514,42679992819679326333603,2286940937990581833647,98286822,1003997538420449498,1700075,56600290346795,7200000000000,1361303493662629346441165,1386847436505869751778,1007842586112521362,1007842578712756287
8659154,42692340019044591472779,2287219189006622931188,42679992819679326333603,2286940937990581833647,98286822,1003997538420449498,1692547,56755394398753,7200000000000,1361303493662629346441165,1386847436505869751778,1007842586112521362,1007842578712756287
8659681,42699988023085548340391,2287394635066663921891,42692011295460911936939,2287211703416862968908,96724072,1003997500636251493,1685018,56910498450712,7200000000000,1361487720023005075316912,1387082733653576585593,1007842905388424433,1007842598414139835
8660208,42706511470014766269114,2287546525996199765910,42701230660855684430919,2287424539074715998252,94961048,1003997277618474904,1677489,57065602502670,7200000000000,1361630978907592869660948,1387167526388973331605,1007842838610664150,1007842833174417587
8660735,42712007739653858337266,2287673624162533486769,42701230660855684430919,2287424539074715998252,94961048,1003997277618474904,1669961,57220706554628,7200000000000,1361630978907592869660948,1387167526388973331605,1007842838610664150,1007842833174417587
8661262,42715480402068136204328,2287782120347207703355,42705380011012648199786,2287523896128293877345,95939668,1003997747288262065,1662432,57375810606586,7200000000000,1361695978748150084616600,1387318735528376910978,1007843234351459056,1007843234351459056
8661789,42721495792689465634518,2287937645629223877358,42714855606215627861445,2287767763832033621254,93734955,1003997789189882728,1654903,57530914658544,7200000000000,1361850280952789591081194,1387442348298058340131,1007843529923836219,1007843282615165716
8662316,42724868139466745316892,2288017334069001046195,42714855606215627861445,2287767763832033621254,93734955,1003997789189882728,1647375,57686018710503,7200000000000,1361850280952789591081194,1387442348298058340131,1007843529923836219,1007843282615165716
8662843,42726387628439641725619,2288054163639290440179,42716926503269107803661,2287819293942332604403,93242950,1003997769095826913,1639846,57841122762461,7200000000000,1361882486645701724935630,1387508608209217261935,1007843568913978388,1007843282615165716
8663370,42732883946558090653969,2288215865756857334586,42724034870552628157072,2287995704866457192624,91957266,1003997576745297128,1632317,57996226814419,7200000000000,1361998041514228012216403,1387529622180388110623,1007843481505455092,1007843472972370417
